title,source_name,url,published_at,sentiment_score
"Iraq Vet Wanted in Montana Bar Shooting Was Ignored by VA, Family Claims",Biztoc.com,https://biztoc.com/x/8bd3d54112e43f8f,2025-08-04 16:42:41+00:00,-0.681856095790863
"Lyrical Media Launches Indie Video Game Publisher Led by UTA, Take Two Vet Blake Rochkind; Three Titles in Development (EXCLUSIVE)",Variety,https://variety.com/2025/gaming/news/lyrical-media-video-game-publisher-blake-rochkind-1236477225/,2025-08-04 16:00:00+00:00,0.0
"'If she wanted the money, she needed to show some proof': Entitled Karen neighbor lies about resident's senior cat and demands they refund her vet bills, then turns the whole neighborhood against them",Cheezburger.com,https://cheezburger.com/41786885/if-she-wanted-the-money-she-needed-to-show-some-proof-entitled-karen-neighbor-lies-about-residents,2025-08-04 16:00:00+00:00,0.0
Owner Takes Maltipoo To Vet With 'Broken Leg'—Then Discovers the Truth,Newsweek,https://www.newsweek.com/owner-takes-maltipoo-vet-discovers-truth-2108481,2025-08-04 15:45:26+00:00,0.0
Disabled IDF vet tries to break into rehab office after pouring liquid on himself,Israelnationalnews.com,https://www.israelnationalnews.com/news/412733,2025-08-04 11:43:49+00:00,-0.4965876638889313
PTSD-disabled IDF vet tries to break into rehab office after pouring liquid on himself,Israelnationalnews.com,https://www.israelnationalnews.com/flashes/663616,2025-08-04 11:14:43+00:00,-0.8492285013198853
Costco Members: 3.4 fl oz Tom Ford Black Orchid or Grey Vetiver Eau de Parfum $100 each (1 replies),Slickdeals.net,https://slickdeals.net/f/18504598-costco-members-3-4-fl-oz-tom-ford-black-orchid-or-grey-vetiver-eau-de-parfum-100-each,2025-08-04 11:08:37+00:00,0.0
"Envestnet Asset Management Inc. Acquires 24,079 Shares of Vermilion Energy Inc. (NYSE:VET)",ETF Daily News,https://www.etfdailynews.com/2025/08/03/envestnet-asset-management-inc-acquires-24079-shares-of-vermilion-energy-inc-nysevet/,2025-08-03 07:47:06+00:00,0.9474138617515564
Police find getaway car of army veteran suspected of deadly Montana bar shooting,Freerepublic.com,https://freerepublic.com/focus/f-chat/4332310/posts,2025-08-02 20:42:07+00:00,0.0
"Day 2 manhunt for US Army vet. accused of killing 4 in Montana bar, escaped in underpants: authorities",New York Post,https://nypost.com/2025/08/02/us-news/day-2-manhunt-for-us-army-vet-accused-of-killing-4-in-montana-bar-authorities/,2025-08-02 19:51:58+00:00,0.0
Manhunt Continues for Iraq War Vet Suspected of Killing Four in Montana Bar,Breitbart News,https://www.breitbart.com/2nd-amendment/2025/08/02/manhunt-continues-iraq-war-vet-suspected-killing-four-montana-bar/,2025-08-02 17:38:46+00:00,-0.6069566607475281
Funny Treat Dispenser Great Dane Dad Is Advised By Vet That Girl Dog Needs To Diet - Sad Dad,YouTube,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DadUUkDI7LhE,2025-08-01 16:44:13+00:00,0.0
"A Navy SEAL vet turned CEO shared his morning routine for longevity: Sunlight, low-impact cardio, and drinking salt water",Biztoc.com,https://biztoc.com/x/c6bd65355b84e58d,2025-08-01 10:03:13+00:00,0.0
"A Navy SEAL vet turned CEO shared his morning routine for longevity: Sunlight, low-impact cardio, and drinking salt water",Business Insider,https://www.businessinsider.com/veteran-navy-seal-shares-longevity-morning-routine-salt-water-cardio-2025-7,2025-08-01 09:52:01+00:00,0.0
"Her Family Came And Took Her Dog To The Vet Against Her Will, And Now They’re Upset That She Doesn’t Want To Pay For It",Twistedsifter.com,http://twistedsifter.com/2025/07/her-family-came-and-took-her-dog-to-the-vet-against-her-will-and-now-theyre-upset-that-she-doesnt-want-to-pay-for-it/,2025-08-01 00:45:21+00:00,0.0
"Shedeur Sanders tied to Saints, Colts trade by NFL vet amid struggles from Tyler Shough, Anthony Richardson",Sporting News,https://www.sportingnews.com/us/nfl/new-orleans-saints/news/shedeur-sanders-tied-saints-colts-trade-nfl-vet-amid-struggles-tyler-shough-anthony-richardson/9de28afa5463d17b86b197fa,2025-07-31 20:54:00+00:00,0.9201271533966064
Maine town denies it did not properly vet reserve officer arrested by ICE,NBC News,https://www.nbcnews.com/news/us-news/maine-ice-arrest-reserve-officer-properly-vetted-jon-luke-evans-rcna222097,2025-07-31 20:27:40+00:00,-0.8982462882995605
